hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
原谅,yuánliàng,"to excuse; to forgive; to pardon","请原谅我的错误。","qǐng yuánliàng wǒ de cuòwù.","Please forgive my mistake.","他已经原谅你了。","tā yǐjīng yuánliàng nǐ le.","He has already forgiven you."
留下,liúxià,"to leave behind; to stay behind; to remain; to keep; not to let (sb) go","请留下你的联系方式。","qǐng liúxià nǐ de liánxì fāngshì.","Please leave your contact information.","他决定留下来帮助我们。","tā juédìng liúxiàlái bāngzhù wǒmen.","He decided to stay behind to help us."
自然,zìrán,"nature; natural; naturally","我们应该保护大自然。","wǒmen yīnggāi bǎohù dà zìrán.","We should protect nature.","他的表演很自然。","tā de biǎoyǎn hěn zìrán.","His performance is very natural."
上去,shàngqù,"to go up","请坐电梯上去。","qǐng zuò diàntī shàngqù.","Please take the elevator to go up.","他爬到山顶上去了。","tā pá dào shāndǐng shàngqù le.","He climbed up to the mountain top."
位置,wèizhi,"position; place; seat; CL:個|个[ge4]","这个位置有人吗？","zhège wèizhi yǒu rén ma?","Is this position/seat taken?","请找到你的位置坐下。","qǐng zhǎodào nǐ de wèizhi zuò xià.","Please find your seat and sit down."
入,rù,"to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]","请勿入内。","qǐng wù rù nèi.","Please do not enter.","他加入了我们的团队。","tā jiārù le wǒmen de tuánduì.","He joined our team."
毕竟,bìjìng,"after all; all in all; when all is said and done; in the final analysis","他毕竟还是个孩子，别太怪他。","tā bìjìng háishi ge háizi, bié tài guài tā.","He is, after all, still a child, don't blame him too much.","虽然很难，但毕竟成功了。","suīrán hěn nán, dàn bìjìng chénggōng le.","Although it was difficult, we succeeded after all."
承认,chéngrèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge","他承认了自己的错误。","tā chéngrèn le zìjǐ de cuòwù.","He admitted his mistake.","你不承认也没用，证据都在这里。","nǐ bù chéngrèn yě méi yòng, zhèngjù dōu zài zhèlǐ.","It's useless even if you don't admit it, the evidence is all here."
唯一,wéiyī,"only; sole","他是唯一知道答案的人。","tā shì wéiyī zhīdào dá'àn de rén.","He is the only person who knows the answer.","这是我唯一的选择。","zhè shì wǒ wéiyī de xuǎnzé.","This is my only choice."
送给,sònggěi,"to send; to give as a present","这束花是送给你的。","zhè shù huā shì sònggěi nǐ de.","This bouquet of flowers is for you (as a gift).","他把礼物送给了老师。","tā bǎ lǐwù sònggěi le lǎoshī.","He gave the present to the teacher."
出事,chūshì,"to have an accident; to meet with a mishap","他开车出事了。","tā kāichē chūshì le.","He had a car accident.","小心点，别出事！","xiǎoxīn diǎn, bié chūshì!","Be careful, don't have an accident!"
要不是,yàobushì,"if it were not for; but for","要不是你帮忙，我肯定完不成。","yàobushì nǐ bāngmáng, wǒ kěndìng wánbùchéng.","If it weren't for your help, I definitely couldn't have finished.","要不是下雨，我们就去公园了。","yàobushì xià yǔ, wǒmen jiù qù gōngyuán le.","But for the rain, we would have gone to the park."
旁边,pángbiān,"lateral; side; to the side; beside","我家旁边有一家超市。","wǒ jiā pángbiān yǒu yī jiā chāoshì.","There is a supermarket beside my home.","请坐在我旁边。","qǐng zuò zài wǒ pángbiān.","Please sit beside me."
利用,lìyòng,"to exploit; to make use of; to use; to take advantage of; to utilize","我们要合理利用资源。","wǒmen yào hélǐ lìyòng zīyuán.","We should utilize resources reasonably.","他利用周末时间学习。","tā lìyòng zhōumò shíjiān xuéxí.","He uses his weekend time to study."
倒是,dàoshi,"contrary to what one might expect; actually; contrariwise; why don't you","这件衣服不贵，质量倒是不错。","zhè jiàn yīfu bù guì, zhìliàng dàoshì bùcuò.","This piece of clothing isn't expensive, but contrary to expectation, the quality is quite good.","你不去，他倒是想去。","nǐ bù qù, tā dàoshì xiǎng qù.","You don't want to go, but actually, he wants to go."
说不定,shuōbudìng,"can't say for sure; maybe","他今天说不定会来。","tā jīntiān shuōbudìng huì lái.","Maybe he will come today.","这事儿还真说不定。","zhè shìr hái zhēn shuōbudìng.","You really can't say for sure about this matter."
欢迎,huānyíng,"to welcome; welcome","欢迎来到中国！","huānyíng láidào Zhōngguó!","Welcome to China!","我们热烈欢迎新同学。","wǒmen rèliè huānyíng xīn tóngxué.","We warmly welcome the new classmates."
重新,chóngxīn,"again; once more; re-","请你重新说一遍。","qǐng nǐ chóngxīn shuō yī biàn.","Please say it again.","我们需要重新考虑这个计划。","wǒmen xūyào chóngxīn kǎolǜ zhège jìhuà.","We need to reconsider this plan."
字,zì,"letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China","这个字怎么写？","zhège zì zěnme xiě?","How do you write this character?","他写的字很漂亮。","tā xiě de zì hěn piàoliang.","The characters he writes are very beautiful."
难怪,nánguài,"(it's) no wonder (that...); (it's) not surprising (that)","他昨晚没睡好，难怪今天看起来很累。","tā zuówǎn méi shuì hǎo, nánguài jīntiān kàn qǐlai hěn lèi.","He didn't sleep well last night, no wonder he looks tired today.","原来是这样，难怪我觉得奇怪。","yuánlái shì zhèyàng, nánguài wǒ juéde qíguài.","So that's how it is, no wonder I felt it was strange."
整,zhěng,"exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb","现在是下午三点整。","xiànzài shì xiàwǔ sān diǎn zhěng.","It is exactly 3 PM.","他一整天都在工作。","tā yī zhěng tiān dōu zài gōngzuò.","He worked the whole day."
正常,zhèngcháng,"regular; normal; ordinary","他的体温很正常。","tā de tǐwēn hěn zhèngcháng.","His body temperature is normal.","一切恢复正常了。","yīqiè huīfù zhèngcháng le.","Everything has returned to normal."
坚持,jiānchí,"to persevere with; to persist in; to insist on","只要坚持，就能成功。","zhǐyào jiānchí, jiù néng chénggōng.","As long as you persist, you can succeed.","他坚持自己的看法。","tā jiānchí zìjǐ de kànfǎ.","He insists on his own opinion."
正在,zhèngzài,"just at (that time); right in (that place); right in the middle of (doing sth)","他正在打电话。","tā zhèngzài dǎ diànhuà.","He is making a phone call right now.","我们正在开会。","wǒmen zhèngzài kāihuì.","We are in the middle of a meeting."
保证,bǎozhèng,"guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4]","我保证明天准时到。","wǒ bǎozhèng míngtiān zhǔnshí dào.","I guarantee I will arrive on time tomorrow.","这是质量的保证。","zhè shì zhìliàng de bǎozhèng.","This is a guarantee of quality."
意外,yìwài,"unexpected; accident; mishap; CL:個|个[ge4]","这是一个意外。","zhè shì yī ge yìwài.","This was an accident.","他的成功让人感到意外。","tā de chénggōng ràng rén gǎndào yìwài.","His success was unexpected."
道理,dàoli,"reason; argument; sense; principle; basis; justification; CL:個|个[ge4]","你说的话很有道理。","nǐ shuō de huà hěn yǒu dàolǐ.","What you said makes a lot of sense.","做人要讲道理。","zuò rén yào jiǎng dàolǐ.","One should be reasonable."
那样,nàyàng,"that kind; that sort","不要那样做。","bùyào nàyàng zuò.","Don't do it that way.","我希望事情不是那样的。","wǒ xīwàng shìqing bù shì nàyàng de.","I hope things are not like that."
身,shēn,"body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158","他身体很好。","tā shēn tǐ hěn hǎo.","His body/health is very good.","请随身携带好证件。","qǐng suíshēn xiédài hǎo zhèngjiàn.","Please carry your identification documents with you."
必要,bìyào,"necessary; essential; indispensable; required","没有必要担心。","méiyǒu bìyào dānxīn.","There is no need to worry.","这是必要的步骤。","zhè shì bìyào de bùzhòu.","This is a necessary step."
随时,suíshí,"at any time; at all times; at the right time","如果你需要帮助，随时可以找我。","rúguǒ nǐ xūyào bāngzhù, suíshí kěyǐ zhǎo wǒ.","If you need help, you can find me at any time.","请随时保持联系。","qǐng suíshí bǎochí liánxì.","Please keep in touch at all times."
态度,tàidu,"manner; bearing; attitude; approach; CL:個|个[ge4]","他的工作态度很好。","tā de gōngzuò tàidu hěn hǎo.","His work attitude is very good.","我们应该保持积极的态度。","wǒmen yīnggāi bǎochí jījí de tàidu.","We should maintain a positive attitude."
通,tōng,"to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc","这条路通往市中心。","zhè tiáo lù tōngwǎng shì zhōngxīn.","This road leads to the city center.","我打不通他的电话。","wǒ dǎ bù tōng tā de diànhuà.","I can't get through to his phone."
想法,xiǎngfǎ,"way of thinking; opinion; notion; to think of a way (to do sth); CL:個|个[ge4]","你有什么想法？","nǐ yǒu shénme xiǎngfǎ?","What are your thoughts/ideas?","这个想法不错。","zhège xiǎngfǎ bùcuò.","This idea is not bad."
背,bēi,"to be burdened; to carry on the back or shoulder","他背着一个大书包。","tā bēi zhe yī ge dà shūbāo.","He is carrying a large backpack on his back.","他背负着沉重的家庭负担。","tā bēifù zhe chénzhòng de jiātíng fùdān.","He is burdened with heavy family responsibilities."
背,bèi,"the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing","我的背有点痛。","wǒ de bèi yǒudiǎn tòng.","My back hurts a little.","请把这首诗背下来。","qǐng bǎ zhè shǒu shī bèi xiàlai.","Please memorize this poem."
疯,fēng,"insane; mad; wild","他是不是疯了？","tā shì bù shì fēng le?","Is he crazy/mad?","孩子们玩疯了。","háizi men wán fēng le.","The children played wildly."
记住,jìzhu,"to remember; to bear in mind; to learn by heart","请记住我说的话。","qǐng jìzhu wǒ shuō de huà.","Please remember what I said.","我永远会记住这一天。","wǒ yǒngyuǎn huì jìzhu zhè yī tiān.","I will always remember this day."
停,tíng,"to stop; to halt; to park (a car)","请在这里停车。","qǐng zài zhèlǐ tíngchē.","Please park the car here.","雨停了。","yǔ tíng le.","The rain has stopped."
失去,shīqù,"to lose","他失去了工作。","tā shīqù le gōngzuò.","He lost his job.","不要失去信心。","bùyào shīqù xìnxīn.","Don't lose confidence."
放过,fàngguò,"to let off; to let slip by; to let sb get away with sth","这次就算了，下次不会放过你。","zhè cì jiù suàn le, xiàcì bù huì fàngguò nǐ.","Let it go this time, I won't let you off next time.","他不会放过任何一个机会。","tā bù huì fàngguò rènhé yī ge jīhuì.","He won't let any opportunity slip by."
越来越,yuèláiyuè,"more and more","天气越来越冷了。","tiānqì yuèláiyuè lěng le.","The weather is getting colder and colder.","他变得越来越自信了。","tā biàn de yuèláiyuè zìxìn le.","He has become more and more confident."
祝,zhù,"to wish; to express good wishes; to pray; (old) wizard","祝你生日快乐！","zhù nǐ shēngrì kuàilè!","Wish you a happy birthday!","祝你一路顺风！","zhù nǐ yīlù shùnfēng!","Wish you a pleasant journey!"
破,pò,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of","这个杯子破了。","zhège bēizi pò le.","This cup is broken.","他终于打破了沉默。","tā zhōngyú dǎpò le chénmò.","He finally broke the silence."
下午,xiàwǔ,"afternoon; CL:個|个[ge4]; p.m.","我今天下午有空。","wǒ jīntiān xiàwǔ yǒu kòng.","I am free this afternoon.","会议安排在下午三点。","huìyì ānpái zài xiàwǔ sān diǎn.","The meeting is scheduled for 3 p.m."
好多,hǎoduō,"many; quite a lot; much better","这里有好多人。","zhèlǐ yǒu hǎoduō rén.","There are many people here.","我感觉好多了。","wǒ gǎnjué hǎoduō le.","I feel much better."
顺便,shùnbiàn,"conveniently; in passing; without much extra effort","我回家路上顺便买了些菜。","wǒ huí jiā lùshang shùnbiàn mǎi le xiē cài.","I bought some vegetables on the way home conveniently.","你出去的时候，顺便帮我把垃圾倒了。","nǐ chūqù de shíhou, shùnbiàn bāng wǒ bǎ lājī dào le.","When you go out, please take out the trash for me in passing."
改,gǎi,"to change; to alter; to transform; to correct","你需要改掉坏习惯。","nǐ xūyào gǎi diào huài xíguàn.","You need to change your bad habits.","请把这个错误改过来。","qǐng bǎ zhège cuòwù gǎi guòlai.","Please correct this mistake."
责任,zérèn,"responsibility; blame; duty; CL:個|个[ge4]","这是我的责任。","zhè shì wǒ de zérèn.","This is my responsibility.","他很有责任心。","tā hěn yǒu zérèn xīn.","He has a strong sense of responsibility."
什么样,shénmeyàng,"what kind?; what sort?; what appearance?","你喜欢什么样的人？","nǐ xǐhuan shénmeyàng de rén?","What kind of person do you like?","他长什么样？","tā zhǎng shénmeyàng?","What does he look like?"
深,shēn,"deep; depth; deeply; (of a color) dark; deep; rich","这个湖很深。","zhège hú hěn shēn.","This lake is very deep.","他对我感情很深。","tā duì wǒ gǎnqíng hěn shēn.","He has deep feelings for me."
聪明,cōngming,"intelligent; clever; bright; smart; acute (of sight and hearing)","他是一个聪明的孩子。","tā shì yī ge cōngming de háizi.","He is a smart child.","你真聪明！","nǐ zhēn cōngming!","You are really clever!"
疼,téng,"(it) hurts; sore; to love dearly","我的肚子很疼。","wǒ de dùzi hěn téng.","My stomach hurts badly.","奶奶最疼我了。","nǎinai zuì téng wǒ le.","Grandma loves me the most dearly."
快乐,kuàilè,"happy; merry","祝你生日快乐！","zhù nǐ shēngrì kuàilè!","Happy birthday to you!","他过着快乐的生活。","tā guò zhe kuàilè de shēnghuó.","He lives a happy life."
配,pèi,"to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate","这件上衣配这条裤子很好看。","zhè jiàn shàngyī pèi zhè tiáo kùzi hěn hǎokàn.","This top matches these trousers very well.","你觉得他配得上她吗？","nǐ juéde tā pèi de shàng tā ma?","Do you think he deserves her?"
打扰,dǎrǎo,"to disturb; to bother; to trouble","对不起，打扰一下。","duìbuqǐ, dǎrǎo yīxià.","Excuse me, sorry to bother you.","请不要打扰他工作。","qǐng bùyào dǎrǎo tā gōngzuò.","Please don't disturb him while he's working."
处,chǔ,"to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish","他现在处境很困难。","tā xiànzài chǔjìng hěn kùnnan.","He is currently in a difficult situation.","我们应该学会如何与人相处。","wǒmen yīnggāi xuéhuì rúhé yǔ rén xiāngchǔ.","We should learn how to get along with people."
处,chù,"place; location; spot; point; office; department; bureau; respect; classifier for locations or items of damage: spot, point","这个地方有很多好去处。","zhège dìfang yǒu hěn duō hǎo qùchù.","This area has many good places to go.","他身上有几处伤。","tā shēnshang yǒu jǐ chù shāng.","He has several injuries on his body."
声音,shēngyīn,"voice; sound; CL:個|个[ge4]","我喜欢听她唱歌的声音。","wǒ xǐhuan tīng tā chànggē de shēngyīn.","I like listening to the sound of her singing.","外面是什么声音？","wàimiàn shì shénme shēngyīn?","What's that sound outside?"
变得,biànde,"to become","天气变得越来越冷了。","tiānqì biànde yuèláiyuè lěng le.","The weather has become colder and colder.","他变得更加自信了。","tā biànde gèngjiā zìxìn le.","He has become more confident."
盯,dīng,"to watch attentively; to fix one's attention on; to stare at; to gaze at","他一直盯着我看。","tā yīzhí dīng zhe wǒ kàn.","He kept staring at me.","请帮我盯一下这个孩子。","qǐng bāng wǒ dīng yīxià zhège háizi.","Please keep an eye on this child for me."
放下,fàngxià,"to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc)","请把枪放下！","qǐng bǎ qiāng fàngxià!","Please put down the gun!","你应该放下过去的烦恼。","nǐ yīnggāi fàngxià guòqù de fánnǎo.","You should let go of past troubles."
收到,shōudào,"to receive","我收到你的信了。","wǒ shōudào nǐ de xìn le.","I received your letter.","你收到礼物了吗？","nǐ shōudào lǐwù le ma?","Did you receive the gift?"
推,tuī,"to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage","请帮我推一下门。","qǐng bāng wǒ tuī yīxià mén.","Please help me push the door.","他把会议推迟了。","tā bǎ huìyì tuīchí le.","He postponed the meeting."
开玩笑,kāiwánxiào,"to play a joke; to make fun of; to joke","别开玩笑了！","bié kāiwánxiào le!","Stop joking!","他喜欢和朋友开玩笑。","tā xǐhuan hé péngyou kāiwánxiào.","He likes joking with friends."
拒绝,jùjué,"to refuse; to decline; to reject","他拒绝了我的邀请。","tā jùjué le wǒ de yāoqǐng.","He refused my invitation.","我无法拒绝他的请求。","wǒ wúfǎ jùjué tā de qǐngqiú.","I cannot refuse his request."
后悔,hòuhuǐ,"to regret; to repent","我现在很后悔。","wǒ xiànzài hěn hòuhuǐ.","I regret it very much now.","做了决定就不要后悔。","zuò le juédìng jiù bùyào hòuhuǐ.","Don't regret it once you've made a decision."
肚子,dùzi,"belly; abdomen; stomach; CL:個|个[ge4]","我肚子饿了。","wǒ dùzi è le.","My stomach is hungry.","他肚子疼。","tā dùzi téng.","He has a stomachache."
同意,tóngyì,"to agree; to consent; to approve","我同意你的看法。","wǒ tóngyì nǐ de kànfǎ.","I agree with your opinion.","他不同意这个计划。","tā bù tóngyì zhège jìhuà.","He doesn't agree with this plan."
无聊,wúliáo,"bored; boring; senseless","我觉得很无聊。","wǒ juéde hěn wúliáo.","I feel very bored.","这个电影太无聊了。","zhège diànyǐng tài wúliáo le.","This movie is too boring."
带走,dàizǒu,"to carry; to take away","请把垃圾带走。","qǐng bǎ lājī dàizǒu.","Please take the trash away.","警察把他带走了。","jǐngchá bǎ tā dàizǒu le.","The police took him away."
原因,yuányīn,"cause; origin; root cause; reason; CL:個|个[ge4]","你知道他迟到的原因吗？","nǐ zhīdào tā chídào de yuányīn ma?","Do you know the reason for his lateness?","事故的原因正在调查中。","shìgù de yuányīn zhèngzài diàochá zhōng.","The cause of the accident is under investigation."
能力,nénglì,"capability; ability; CL:個|个[ge4]","他有很强的工作能力。","tā yǒu hěn qiáng de gōngzuò nénglì.","He has strong work capability.","我们要相信自己的能力。","wǒmen yào xiāngxìn zìjǐ de nénglì.","We must believe in our own abilities."
重点,zhòngdiǎn,"important point; main point; focus; key (project etc); to focus on; to put the emphasis on","这是今天的学习重点。","zhè shì jīntiān de xuéxí zhòngdiǎn.","This is the key point of today's study.","老师强调了考试的重点。","lǎoshī qiángdiào le kǎoshì de zhòngdiǎn.","The teacher emphasized the key points of the exam."
提醒,tíxǐng,"to remind; to call attention to; to warn of","谢谢你的提醒。","xièxie nǐ de tíxǐng.","Thank you for the reminder.","请提醒我明天带伞。","qǐng tíxǐng wǒ míngtiān dài sǎn.","Please remind me to bring an umbrella tomorrow."
唱,chàng,"to sing; to call loudly; to chant","她喜欢唱歌。","tā xǐhuan chànggē.","She likes singing.","我们一起唱首歌吧。","wǒmen yīqǐ chàng shǒu gē ba.","Let's sing a song together."
或者,huòzhě,"or; possibly; maybe; perhaps","你可以喝茶或者咖啡。","nǐ kěyǐ hē chá huòzhě kāfēi.","You can drink tea or coffee.","明天或者后天，我都可以。","míngtiān huòzhě hòutiān, wǒ dōu kěyǐ.","Tomorrow or the day after tomorrow are both okay for me."
可惜,kěxī,"it is a pity; what a pity; unfortunately","真可惜，我不能去。","zhēn kěxī, wǒ bù néng qù.","What a pity, I can't go.","错过这个机会太可惜了。","cuòguò zhège jīhuì tài kěxī le.","It's such a pity to miss this opportunity."
茶,chá,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]","你喜欢喝什么茶？","nǐ xǐhuan hē shénme chá?","What kind of tea do you like to drink?","请给我一杯热茶。","qǐng gěi wǒ yī bēi rè chá.","Please give me a cup of hot tea."
吵架,chǎojià,"to quarrel; to have a row; quarrel; CL:頓|顿[dun4]","他们俩又吵架了。","tāmen liǎ yòu chǎojià le.","The two of them quarreled again.","不要为小事吵架。","bùyào wèi xiǎoshì chǎojià.","Don't quarrel over small matters."
趁,chèn,"to avail oneself of; to take advantage of","趁现在有时间，我们去散步吧。","chèn xiànzài yǒu shíjiān, wǒmen qù sànbù ba.","Let's go for a walk while we have time now.","趁热吃。","chèn rè chī.","Eat it while it's hot."
支持,zhīchí,"to be in favor of; to support; to back; support; backing; to stand by; CL:個|个[ge4]","我支持你的决定。","wǒ zhīchí nǐ de juédìng.","I support your decision.","谢谢你对我的支持。","xièxie nǐ duì wǒ de zhīchí.","Thank you for your support."
挂,guà,"to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)","请把画挂在墙上。","qǐng bǎ huà guà zài qiáng shàng.","Please hang the painting on the wall.","我先挂电话了。","wǒ xiān guà diànhuà le.","I'll hang up the phone first."
犯,fàn,"to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad)","他犯了一个错误。","tā fàn le yī ge cuòwù.","He made a mistake.","不要犯同样的错误。","bùyào fàn tóngyàng de cuòwù.","Don't make the same mistake."
上来,shànglái,"to come up; to approach; (verb complement indicating success)","请从楼下走上来。","qǐng cóng lóuxià zǒu shànglái.","Please come up from downstairs.","他很快就追上来了。","tā hěn kuài jiù zhuī shànglái le.","He caught up very quickly."
方法,fāngfǎ,"method; way; means; CL:個|个[ge4]","你有什么好方法吗？","nǐ yǒu shénme hǎo fāngfǎ ma?","Do you have any good methods?","我们需要找到解决问题的方法。","wǒmen xūyào zhǎodào jiějué wèntí de fāngfǎ.","We need to find a way to solve the problem."
一般,yībān,"same; ordinary; so-so; common; general; generally; in general","他长相很一般。","tā zhǎngxiàng hěn yībān.","His looks are very ordinary.","一般来说，周末人比较多。","yībān lái shuō, zhōumò rén bǐjiào duō.","Generally speaking, there are more people on weekends."
尽,jìn,"to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely","请尽力完成任务。","qǐng jìnlì wánchéng rènwu.","Please do your best to complete the task.","他把杯子里的水喝尽了。","tā bǎ bēizi lǐ de shuǐ hē jìn le.","He drank up all the water in the cup."
小时候,xiǎoshíhou,"in one's childhood","我小时候住在这里。","wǒ xiǎoshíhou zhù zài zhèlǐ.","I lived here in my childhood.","他小时候很淘气。","tā xiǎoshíhou hěn táoqì.","He was very naughty in his childhood."
边,biān,"side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously","请在这边签字。","qǐng zài zhèbiān qiānzì.","Please sign on this side.","河边有很多树。","hé biān yǒu hěn duō shù.","There are many trees by the riverside."
正好,zhènghǎo,"just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that","你来得正好。","nǐ lái de zhènghǎo.","You came just in time.","这件衣服我穿正好。","zhè jiàn yīfu wǒ chuān zhènghǎo.","This piece of clothing fits me just right."
招,zhāo,"to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess","公司正在招人。","gōngsī zhèngzài zhāo rén.","The company is recruiting people.","他向我招了招手。","tā xiàng wǒ zhāo le zhāo shǒu.","He beckoned to me."
年轻,niánqīng,"young","他看起来很年轻。","tā kàn qǐlai hěn niánqīng.","He looks very young.","年轻人应该有梦想。","niánqīng rén yīnggāi yǒu mèngxiǎng.","Young people should have dreams."
味道,wèidao,"flavor; smell; hint of","这个菜味道怎么样？","zhège cài wèidao zěnmeyàng?","How does this dish taste?","我闻到了一股奇怪的味道。","wǒ wéndào le yī gǔ qíguài de wèidao.","I smelled a strange smell."
熟,shú,"cooked (of food); ripe (of fruit); mature (of seeds); familiar; skilled; done; also pr. [shou2]","饭熟了吗？","fàn shú le ma?","Is the rice cooked?","我们很熟，是老朋友了。","wǒmen hěn shú, shì lǎo péngyou le.","We are very familiar, we are old friends."
浪费,làngfèi,"to waste; to squander","不要浪费时间。","bùyào làngfèi shíjiān.","Don't waste time.","我们应该节约用水，不要浪费。","wǒmen yīnggāi jiéyuē yòngshuǐ, bùyào làngfèi.","We should save water and not waste it."
有空,yǒukòng,"to have time (to do sth)","你明天有空吗？","nǐ míngtiān yǒukòng ma?","Are you free tomorrow?","有空常来玩儿。","yǒukòng cháng lái wánr.","Come visit often when you have time."
支,zhī,"to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions","请给我一支笔。","qǐng gěi wǒ yī zhī bǐ.","Please give me a pen.","他用木棍支起帐篷。","tā yòng mùgùn zhī qǐ zhàngpeng.","He used wooden sticks to support the tent."
理由,lǐyóu,"reason; grounds; justification; CL:個|个[ge4]","你迟到的理由是什么？","nǐ chídào de lǐyóu shì shénme?","What is the reason for your lateness?","他没有理由拒绝。","tā méiyǒu lǐyóu jùjué.","He has no reason to refuse."
真心,zhēnxīn,"sincere; heartfelt; CL:片[pian4]","我是真心喜欢你。","wǒ shì zhēnxīn xǐhuan nǐ.","I sincerely like you.","他对朋友一片真心。","tā duì péngyou yī piàn zhēnxīn.","He is sincerely devoted to his friends."
群,qún,"group; crowd; flock, herd, pack etc","公园里有一群孩子在玩。","gōngyuán lǐ yǒu yī qún háizi zài wán.","There is a group of children playing in the park.","狼是群居动物。","láng shì qúnjū dòngwù.","Wolves are pack animals."
走开,zǒukāi,"to leave; to walk away; to beat it; to move aside","请你走开，不要打扰我。","qǐng nǐ zǒukāi, bùyào dǎrǎo wǒ.","Please go away, don't disturb me.","他生气地走开了。","tā shēngqì de zǒukāi le.","He walked away angrily."
等到,děngdào,"to wait until; by the time when (sth is ready etc)","等到他来，我们再出发。","děngdào tā lái, wǒmen zài chūfā.","Wait until he comes, then we'll set off.","等到花儿都谢了。","děngdào huār dōu xiè le.","Wait until the flowers have all withered (waited for a very long time)."
表示,biǎoshì,"to express; to show; to say; to state; to indicate; to mean","他点头表示同意。","tā diǎntóu biǎoshì tóngyì.","He nodded to express agreement.","这个符号表示什么意思？","zhège fúhào biǎoshì shénme yìsi?","What does this symbol mean?"
紧,jǐn,"tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten","这件衣服有点紧。","zhè jiàn yīfu yǒudiǎn jǐn.","These clothes are a bit tight.","时间很紧，我们得快点。","shíjiān hěn jǐn, wǒmen děi kuài diǎn.","Time is tight, we have to hurry."
姓,xìng,"family name; surname; CL:個|个[ge4]; to be surnamed","请问您贵姓？","qǐngwèn nín guìxìng?","May I ask your honorable surname?","我姓王。","wǒ xìng Wáng.","My surname is Wang."
藏,cáng,"to conceal; to hide away; to harbor; to store; to collect","他把钱藏起来了。","tā bǎ qián cáng qǐlai le.","He hid the money.","这个山洞里藏着宝藏。","zhège shāndòng lǐ cáng zhe bǎozàng.","There is treasure hidden in this cave."
自,zì,"self; oneself; from; since; naturally; surely","请自便。","qǐng zìbiàn.","Please help yourself / Make yourself at home.","自信是成功的第一步。","zìxìn shì chénggōng de dì yī bù.","Self-confidence is the first step to success."
出门,chūmén,"to go out; to leave home; to go on a journey; away from home; (of a woman) to get married","他早上很早就出门了。","tā zǎoshang hěn zǎo jiù chūmén le.","He went out very early this morning.","出门别忘了带钥匙。","chūmén bié wàng le dài yàoshi.","Don't forget your keys when you go out."
眼,yǎn,"eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc)","他的眼睛很大。","tā de yǎnjing hěn dà.","His eyes are very big.","针眼太小了，我看不清。","zhēnyǎn tài xiǎo le, wǒ kàn bù qīng.","The eye of the needle is too small, I can't see clearly."
空,kōng,"empty; air; sky; in vain","这个瓶子是空的。","zhège píngzi shì kōng de.","This bottle is empty.","天上有很多星星。","tiānkōng zhōng yǒu hěn duō xīngxing.","There are many stars in the sky."
费,fèi,"to cost; to spend; fee; wasteful; expenses","这本书费了我十块钱。","zhè běn shū fèi le wǒ shí kuài qián.","This book cost me ten yuan.","不要浪费电。","bùyào làngfèi diàn.","Don't waste electricity."
碰,pèng,"to touch; to meet with; to bump","小心，别碰到头。","xiǎoxīn, bié pèng dào tóu.","Be careful, don't bump your head.","我昨天碰到他了。","wǒ zuótiān pèng dào tā le.","I bumped into him yesterday."
